2024-12-17 12:22:13 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:14 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:14 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:15 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:15 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:16 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:16 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:17 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:17 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:18 - Bytes Sent: 6247631, Bytes Received: 211302516
2024-12-17 12:22:18 - Bytes Sent: 6247686, Bytes Received: 211302582
2024-12-17 12:22:19 - Bytes Sent: 6247686, Bytes Received: 211302582
2024-12-17 12:22:19 - Bytes Sent: 6247686, Bytes Received: 211302582
2024-12-17 12:22:20 - Bytes Sent: 6247686, Bytes Received: 211302582
2024-12-17 12:22:20 - Bytes Sent: 6247686, Bytes Received: 211302582
2024-12-17 12:22:21 - Bytes Sent: 6248341, Bytes Received: 211303825
2024-12-17 12:22:21 - Bytes Sent: 6248341, Bytes Received: 211303891
2024-12-17 12:22:22 - Bytes Sent: 6248341, Bytes Received: 211303891
2024-12-17 12:22:22 - Bytes Sent: 6248341, Bytes Received: 211303891
2024-12-17 12:22:23 - Bytes Sent: 6248396, Bytes Received: 211303957
2024-12-17 12:22:23 - Bytes Sent: 6248396, Bytes Received: 211303957
2024-12-17 12:22:24 - Bytes Sent: 6248451, Bytes Received: 211303957
2024-12-17 12:22:24 - Bytes Sent: 6248451, Bytes Received: 211304023
2024-12-17 12:22:25 - Bytes Sent: 6248559, Bytes Received: 211304316
2024-12-17 12:22:25 - Bytes Sent: 6248667, Bytes Received: 211304555
2024-12-17 12:22:26 - Bytes Sent: 6248667, Bytes Received: 211304555
2024-12-17 12:22:26 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:27 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:27 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:28 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:28 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:29 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:29 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:30 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:30 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:31 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:31 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:32 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:32 - Bytes Sent: 6248709, Bytes Received: 211304597
2024-12-17 12:22:33 - Bytes Sent: 6248872, Bytes Received: 211304864
2024-12-17 12:22:33 - Bytes Sent: 6248872, Bytes Received: 211304864
2024-12-17 12:22:34 - Bytes Sent: 6248872, Bytes Received: 211304864
2024-12-17 12:22:34 - Bytes Sent: 6248872, Bytes Received: 211304864
2024-12-17 12:57:04 - Bytes Sent: 12216767, Bytes Received: 242631679
2024-12-17 12:57:05 - Bytes Sent: 12216994, Bytes Received: 242632113
2024-12-17 12:57:05 - Bytes Sent: 12216994, Bytes Received: 242632113
2024-12-17 12:57:06 - Bytes Sent: 12216994, Bytes Received: 242632113
2024-12-17 12:57:06 - Bytes Sent: 12217203, Bytes Received: 242632392
2024-12-17 12:57:07 - Bytes Sent: 12217203, Bytes Received: 242632392
2024-12-17 12:57:07 - Bytes Sent: 12217203, Bytes Received: 242632392
2024-12-17 12:57:08 - Bytes Sent: 12217770, Bytes Received: 242632554
2024-12-17 12:57:08 - Bytes Sent: 12218022, Bytes Received: 242633821
2024-12-17 12:57:09 - Bytes Sent: 12223790, Bytes Received: 242644631
2024-12-17 12:57:09 - Bytes Sent: 12223876, Bytes Received: 242644631
2024-12-17 12:57:10 - Bytes Sent: 12223930, Bytes Received: 242644631
2024-12-17 12:57:10 - Bytes Sent: 12223930, Bytes Received: 242644631
2024-12-17 12:57:11 - Bytes Sent: 12225950, Bytes Received: 242645000
2024-12-17 12:57:12 - Bytes Sent: 12225950, Bytes Received: 242645000
2024-12-17 12:57:12 - Bytes Sent: 12225950, Bytes Received: 242645000
2024-12-17 12:57:13 - Bytes Sent: 12225950, Bytes Received: 242645000
2024-12-17 12:57:13 - Bytes Sent: 12225950, Bytes Received: 242645000
2024-12-17 12:57:14 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:14 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:15 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:15 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:16 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:16 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:17 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:17 - Bytes Sent: 12226004, Bytes Received: 242645000
2024-12-17 12:57:18 - Bytes Sent: 12226568, Bytes Received: 242645348
2024-12-17 12:57:18 - Bytes Sent: 12230185, Bytes Received: 242647693
2024-12-17 12:57:19 - Bytes Sent: 12230293, Bytes Received: 242647801
2024-12-17 12:57:19 - Bytes Sent: 12231629, Bytes Received: 242648671
2024-12-17 12:57:20 - Bytes Sent: 12238669, Bytes Received: 242659985
2024-12-17 12:57:20 - Bytes Sent: 12239647, Bytes Received: 242664642
2024-12-17 12:57:21 - Bytes Sent: 12239786, Bytes Received: 242665123
2024-12-17 12:57:21 - Bytes Sent: 12251864, Bytes Received: 242682389
2024-12-17 12:57:22 - Bytes Sent: 12256350, Bytes Received: 242686588
2024-12-17 12:57:22 - Bytes Sent: 12257632, Bytes Received: 242697897
2024-12-17 12:57:23 - Bytes Sent: 12257907, Bytes Received: 242697963
2024-12-17 12:57:23 - Bytes Sent: 12259387, Bytes Received: 242699193
2024-12-17 12:57:24 - Bytes Sent: 12259442, Bytes Received: 242699259
2024-12-17 12:57:24 - Bytes Sent: 12259659, Bytes Received: 242699803
2024-12-17 12:57:25 - Bytes Sent: 12259659, Bytes Received: 242699857
2024-12-17 12:57:25 - Bytes Sent: 12259659, Bytes Received: 242699857
2024-12-17 12:57:26 - Bytes Sent: 12259659, Bytes Received: 242699857
2024-12-17 12:57:26 - Bytes Sent: 12259769, Bytes Received: 242699857
2024-12-17 12:57:27 - Bytes Sent: 12259769, Bytes Received: 242699857
2024-12-17 12:57:27 - Bytes Sent: 12259769, Bytes Received: 242699989
2024-12-17 12:57:28 - Bytes Sent: 12259823, Bytes Received: 242699989
2024-12-17 12:57:28 - Bytes Sent: 12259823, Bytes Received: 242699989
2024-12-17 12:57:29 - Bytes Sent: 12259823, Bytes Received: 242699989
2024-12-17 12:57:29 - Bytes Sent: 12259823, Bytes Received: 242699989
2024-12-17 12:57:30 - Bytes Sent: 12259823, Bytes Received: 242699989
2024-12-17 12:57:30 - Bytes Sent: 12259878, Bytes Received: 242699989
2024-12-17 12:57:31 - Bytes Sent: 12260584, Bytes Received: 242699989
2024-12-17 12:57:31 - Bytes Sent: 12262174, Bytes Received: 242700109
2024-12-17 12:57:32 - Bytes Sent: 12262306, Bytes Received: 242700109
2024-12-17 12:57:33 - Bytes Sent: 12269893, Bytes Received: 242707524
2024-12-17 12:57:33 - Bytes Sent: 12270039, Bytes Received: 242708076
2024-12-17 12:57:34 - Bytes Sent: 12270093, Bytes Received: 242708556
2024-12-17 12:57:34 - Bytes Sent: 12270093, Bytes Received: 242708556
2024-12-17 12:57:35 - Bytes Sent: 12270093, Bytes Received: 242708556
2024-12-17 12:57:35 - Bytes Sent: 12271189, Bytes Received: 242708556
2024-12-17 12:57:36 - Bytes Sent: 12273165, Bytes Received: 242708556
2024-12-17 12:57:36 - Bytes Sent: 12273220, Bytes Received: 242708556
2024-12-17 12:57:37 - Bytes Sent: 12274208, Bytes Received: 242708556
2024-12-17 12:57:37 - Bytes Sent: 12274263, Bytes Received: 242708556
2024-12-17 12:57:38 - Bytes Sent: 12275306, Bytes Received: 242709048
2024-12-17 12:57:38 - Bytes Sent: 12275611, Bytes Received: 242709805
2024-12-17 12:57:39 - Bytes Sent: 12280172, Bytes Received: 242716206
2024-12-17 12:57:39 - Bytes Sent: 12280172, Bytes Received: 242716206
2024-12-17 12:57:40 - Bytes Sent: 12280227, Bytes Received: 242716272
2024-12-17 12:57:40 - Bytes Sent: 12280227, Bytes Received: 242716272
2024-12-17 12:57:41 - Bytes Sent: 12280310, Bytes Received: 242716419
2024-12-17 12:57:41 - Bytes Sent: 12280310, Bytes Received: 242716419
2024-12-17 12:57:42 - Bytes Sent: 12280472, Bytes Received: 242717005
2024-12-17 12:57:42 - Bytes Sent: 12280472, Bytes Received: 242717005
2024-12-17 12:57:43 - Bytes Sent: 12280472, Bytes Received: 242717005
2024-12-17 12:57:43 - Bytes Sent: 12280472, Bytes Received: 242717005
2024-12-17 12:57:44 - Bytes Sent: 12280472, Bytes Received: 242717005
